Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-03-19 11:24:26,false,"Auburn Running","2.01","185","00:27:33","151","177","2.4","152","172","13:41","10:27","109","77","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","00:15.42.3","3","82.4","00:27:33","00:27:33","1,316","1,380"
Walking,2023-03-16 17:09:51,false,"Auburn Walking","4.00","314","01:23:16","101","127","1.5","104","220","20:49","15:18","110","109","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","77.0","0:00","No","00:02.03.6","5","82.4","01:14:17","01:23:16","1,301","1,350"
Walking,2023-03-15 17:05:03,false,"Auburn Walking","2.07","170","00:34:49","119","156","2.1","126","249","16:49","11:01","92","75","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","66.2","0:00","No","01:19.02.9","3","82.4","00:34:48","00:34:49","1,187","1,241"
Walking,2023-03-08 17:15:48,false,"Auburn Walking","1.98","156","00:34:43","108","126","1.3","127","137","17:33","15:12","62","38","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","17:05.16.8","2","84.2","00:34:38","00:34:43","1,236","1,276"
Walking,2023-03-05 13:19:06,false,"Auburn Walking","2.55","210","00:41:53","121","163","2.2","135","184","16:26","10:27","121","86","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","59.0","0:00","No","09:18.35.6","3","78.8","00:41:51","00:41:53","1,221","1,282"
Walking,2023-03-01 12:47:40,false,"Auburn Walking","0.92","75","00:15:13","110","131","1.0","127","140","16:35","14:31","70","71","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","78.8","0:00","No","15:12.75.7","1","82.4","00:15:03","00:15:13","1,317","1,354"
Running,2023-02-23 09:04:46,false,"Auburn Running","1.37","128","00:15:51","154","168","2.7","166","178","11:32","9:45","92","34","0.84","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","60.8","0:00","No","04:26.42.7","2","82.4","00:15:51","00:15:51","1,320","1,406"
Running,2023-02-17 09:36:08,false,"Auburn Running","6.82","628","01:21:13","163","182","3.8","165","178","11:55","9:45","148","134","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","68.0","0:00","No","09:52.99.9","7","84.2","01:21:06","01:21:13","1,316","1,370"
Running,2023-02-13 10:42:15,false,"Auburn Running","10.00","914","02:05:17","161","179","4.2","157","236","12:31","8:43","245","248","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","00:02.60.8","11","78.8","02:03:16","02:05:42","1,289","1,355"
Running,2023-02-12 11:11:24,false,"Auburn Running","7.56","799","01:45:50","164","188","4.1","145","248","14:00","9:09","1,116","1,099","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","07:20.88.4","8","86.0","01:42:44","01:45:50","810","1,367"
